GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME,year
Australia,28 Mar 2010,Jenson Button,MCLAREN MERCEDES,58,1:33:36.531,2010
Malaysia,04 Apr 2010,Sebastian Vettel,RBR RENAULT,56,1:33:48.412,2010
China,18 Apr 2010,Jenson Button,MCLAREN MERCEDES,56,1:46:42.163,2010
Spain,09 May 2010,Mark Webber,RBR RENAULT,66,1:35:44.101,2010
Monaco,16 May 2010,Mark Webber,RBR RENAULT,78,1:50:13.355,2010
Turkey,30 May 2010,Lewis Hamilton,MCLAREN MERCEDES,58,1:28:47.620,2010
Canada,13 Jun 2010,Lewis Hamilton,MCLAREN MERCEDES,70,1:33:53.456,2010
Europe,27 Jun 2010,Sebastian Vettel,RBR RENAULT,57,1:40:29.571,2010
Great Britain,11 Jul 2010,Mark Webber,RBR RENAULT,52,1:24:38.200,2010
Germany,25 Jul 2010,Fernando Alonso,FERRARI,67,1:27:38.864,2010
Hungary,01 Aug 2010,Mark Webber,RBR RENAULT,70,1:41:05.571,2010
Belgium,29 Aug 2010,Lewis Hamilton,MCLAREN MERCEDES,44,1:29:04.268,2010
Italy,12 Sep 2010,Fernando Alonso,FERRARI,53,1:16:24.572,2010
Singapore,26 Sep 2010,Fernando Alonso,FERRARI,61,1:57:53.579,2010
Japan,10 Oct 2010,Sebastian Vettel,RBR RENAULT,53,1:30:27.323,2010
South Korea,24 Oct 2010,Fernando Alonso,FERRARI,55,2:48:20.810,2010
Brazil,07 Nov 2010,Sebastian Vettel,RBR RENAULT,71,1:33:11.803,2010
Abu Dhabi,14 Nov 2010,Sebastian Vettel,RBR RENAULT,55,1:39:36.837,2010
Australia,27 Mar 2011,Sebastian Vettel,RED BULL RACING RENAULT,58,1:29:30.259,2011
Malaysia,10 Apr 2011,Sebastian Vettel,RED BULL RACING RENAULT,56,1:37:39.832,2011
China,17 Apr 2011,Lewis Hamilton,MCLAREN MERCEDES,56,1:36:58.226,2011
Turkey,08 May 2011,Sebastian Vettel,RED BULL RACING RENAULT,58,1:30:17.558,2011
Spain,22 May 2011,Sebastian Vettel,RED BULL RACING RENAULT,66,1:39:03.301,2011
Monaco,29 May 2011,Sebastian Vettel,RED BULL RACING RENAULT,78,2:09:38.373,2011
Canada,12 Jun 2011,Jenson Button,MCLAREN MERCEDES,70,4:04:39.537,2011
Europe,26 Jun 2011,Sebastian Vettel,RED BULL RACING RENAULT,57,1:39:36.169,2011
Great Britain,10 Jul 2011,Fernando Alonso,FERRARI,52,1:28:41.196,2011
Germany,24 Jul 2011,Lewis Hamilton,MCLAREN MERCEDES,60,1:37:30.334,2011
Hungary,31 Jul 2011,Jenson Button,MCLAREN MERCEDES,70,1:46:42.337,2011
Belgium,28 Aug 2011,Sebastian Vettel,RED BULL RACING RENAULT,44,1:26:44.893,2011
Italy,11 Sep 2011,Sebastian Vettel,RED BULL RACING RENAULT,53,1:20:46.172,2011
Singapore,25 Sep 2011,Sebastian Vettel,RED BULL RACING RENAULT,61,1:59:06.757,2011
Japan,09 Oct 2011,Jenson Button,MCLAREN MERCEDES,53,1:30:53.427,2011
South Korea,16 Oct 2011,Sebastian Vettel,RED BULL RACING RENAULT,55,1:38:01.994,2011
India,30 Oct 2011,Sebastian Vettel,RED BULL RACING RENAULT,60,1:30:35.002,2011
Abu Dhabi,13 Nov 2011,Lewis Hamilton,MCLAREN MERCEDES,55,1:37:11.886,2011
Brazil,27 Nov 2011,Mark Webber,RED BULL RACING RENAULT,71,1:32:17.464,2011
Australia,18 Mar 2012,Jenson Button,MCLAREN MERCEDES,58,1:34:09.565,2012
Malaysia,25 Mar 2012,Fernando Alonso,FERRARI,56,2:44:51.812,2012
China,15 Apr 2012,Nico Rosberg,MERCEDES,56,1:36:26.929,2012
Bahrain,22 Apr 2012,Sebastian Vettel,RED BULL RACING RENAULT,57,1:35:10.990,2012
Spain,13 May 2012,Pastor Maldonado,WILLIAMS RENAULT,66,1:39:09.145,2012
Monaco,27 May 2012,Mark Webber,RED BULL RACING RENAULT,78,1:46:06.557,2012
Canada,10 Jun 2012,Lewis Hamilton,MCLAREN MERCEDES,70,1:32:29.586,2012
Europe,24 Jun 2012,Fernando Alonso,FERRARI,57,1:44:16.649,2012
Great Britain,08 Jul 2012,Mark Webber,RED BULL RACING RENAULT,52,1:25:11.288,2012
Germany,22 Jul 2012,Fernando Alonso,FERRARI,67,1:31:05.862,2012
Hungary,29 Jul 2012,Lewis Hamilton,MCLAREN MERCEDES,69,1:41:05.503,2012
Belgium,02 Sep 2012,Jenson Button,MCLAREN MERCEDES,44,1:29:08.530,2012
Italy,09 Sep 2012,Lewis Hamilton,MCLAREN MERCEDES,53,1:19:41.221,2012
Singapore,23 Sep 2012,Sebastian Vettel,RED BULL RACING RENAULT,59,2:00:26.144,2012
Japan,07 Oct 2012,Sebastian Vettel,RED BULL RACING RENAULT,53,1:28:56.242,2012
South Korea,14 Oct 2012,Sebastian Vettel,RED BULL RACING RENAULT,55,1:36:28.651,2012
India,28 Oct 2012,Sebastian Vettel,RED BULL RACING RENAULT,60,1:31:10.744,2012
Abu Dhabi,04 Nov 2012,Kimi Räikkönen,LOTUS RENAULT,55,1:45:58.667,2012
United States,18 Nov 2012,Lewis Hamilton,MCLAREN MERCEDES,56,1:35:55.269,2012
Brazil,25 Nov 2012,Jenson Button,MCLAREN MERCEDES,71,1:45:22.656,2012
Australia,17 Mar 2013,Kimi Räikkönen,LOTUS RENAULT,58,1:30:03.225,2013
Malaysia,24 Mar 2013,Sebastian Vettel,RED BULL RACING RENAULT,56,1:38:56.681,2013
China,14 Apr 2013,Fernando Alonso,FERRARI,56,1:36:26.945,2013
